configuration,difficulty,mean_tokens,median_tokens,std_tokens,q25_tokens,q75_tokens,sample_count
Baseline,1,10444.70058139535,9590.0,4430.067590636623,6589.5,13889.75,344
Baseline,2,11512.870762711864,11448.5,4549.8098989980035,7913.75,14839.0,472
Baseline,3,11779.551652892562,12199.5,4383.1995200450465,8074.5,14824.75,484
Baseline,4,12239.767441860466,12954.0,4919.791041035178,7769.0,15516.75,344
Baseline,5,12182.516853932584,13025.0,4496.003718138807,8757.25,15444.5,356
SFT,1,3175.9127906976746,121.0,5662.804916299791,79.0,4520.75,344
SFT,2,3561.237288135593,175.0,6266.259768053815,103.0,7852.25,472
SFT,3,3468.871900826446,169.0,5983.8144647686095,109.0,7149.5,484
SFT,4,3635.1482558139537,223.0,6271.050792730953,145.0,8655.5,344
SFT,5,4305.553370786517,277.0,7371.964940343286,175.0,10351.0,356
GRPO,1,7403.584302325581,6279.0,4225.65335316256,4456.25,8406.25,344
GRPO,2,8147.620762711865,6994.5,4817.126253711486,4659.0,9989.75,472
GRPO,3,8105.818181818182,7377.0,4532.723384858588,4856.25,10005.0,484
GRPO,4,8783.683139534884,8489.0,4521.924590409214,5160.25,11223.25,344
GRPO,5,8787.078651685393,8507.0,4148.780166149555,5275.25,11226.25,356
Step-by-step,1,20267.2725,21441.6,6057.396110779919,18804.1225,22904.75,4
Step-by-step,2,21392.155,23541.184999999998,7982.595661431187,18041.1525,26892.1875,4
Step-by-step,3,19829.864999999998,21350.445,8110.064138466066,15376.3375,25803.9725,4
Step-by-step,4,21326.2375,23615.455,8713.287865091932,17795.0475,27146.644999999997,4
Step-by-step,5,22703.805,25536.925,8976.753825522528,20241.5,27999.23,4
